Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML binary,1,1,41158,gina,,,1,,,,,,,,,,,970,3100,0,0,0,0,970,3153,"0,9509677419","0,8288172043",0
OpenML binary,1,,41159,guillermo,,,1,,,,,,,,,,,4279,16006,0,0,17,0,4296,20000,,,
OpenML binary,,0,41160,rl,,,,,,,,,,,,,,7,2360,14,0,1,16872,22,31406,,,
OpenML binary,,,41161,riccardo,,,,,,,,,,,,,,4283,10000,0,0,13,0,4296,20000,,,
OpenML binary,,0,41162,kick,,,,,,,,,,,,,,14,17836,18,0,0,383,32,72983,"0,6360888889","0,6198666667",1
OpenML binary,,0,41228,Klaverjas2018,,,,,,,,,,,,,,0,981541,0,0,32,0,32,981541,,,
OpenML binary,,0,41434,Click_prediction_small,,,,,,,,,,,,,,3,13456,6,0,2,0,11,39948,,,
OpenML binary,1,1,41526,test_dataset,,,,,,,,,1,,,,,51,15136,0,0,9,14,60,15547,"0,8395555556","0,7952",0
OpenML binary,,0,41946,Sick_numeric,,,,,,,,,,,,,,6,462,0,0,23,0,29,3772,,,
OpenML binary,,0,42192,compas-two-years,,,,,,,,,,,,,,3,4966,6,0,4,0,13,5278,,,
OpenML binary,,0,42193,compas-two-years,,,,,,,,,,,,,,3,4966,6,0,4,0,13,5278,,,
OpenML binary,,0,42206,porto-seguro,,,,,,,,,,,,,,9,34308,25,0,3,142164,37,595212,"0,538419016","0,5638474295",1
OpenML binary,,0,42252,Asteroid_Dataset,,,,,,,,,,,,,,32,276,1,0,0,96,33,126131,,,
OpenML binary,,0,42256,Asteroid_Dataset,,,,,,,,,,,,,,33,276,0,0,0,96,33,126131,,,
OpenML binary,,0,42343,KDD98,,,,,,,,,,,,,,309,7676,136,21,11,51924,477,82318,"0,5400781589","0,5313069909",1
OpenML binary,0,0,42395,SantanderCustomerSatisfaction,,,,,,,,,,,,,,201,40196,0,0,0,0,201,200000,"0,7769860683","0,7629125456",1
OpenML binary,,0,42397,CreditCardFraudDetection,,,,,,,,,,,,,,30,984,0,0,0,0,30,284807,,,
OpenML binary,,0,42435,SantanderCustomerSatisfaction,,,,,,,,,,,,,,200,40196,1,0,0,0,201,200000,"0,7817363253","0,7719522138",1
OpenML binary,,0,42477,default-of-credit-card-clients,,,,,,,,,,,,,,20,13272,0,0,3,0,23,30000,"0,6957810146","0,6791562029",1
OpenML binary,1,1,42680,RelevantImagesDatasetTEST,0,,,,,,,,,,,,,19,11164,3,0,8,0,30,134731,"0,996238806","0,9405373134",0
OpenML binary,1,1,42717,Click_prediction_small,,,,,,,,,,1,,,,7,13456,0,0,2,0,9,39948,"0,599058707","0,5689868714",0
OpenML binary,,0,42733,Click_prediction_small,,,,,,,,,,,,,,3,13456,6,0,2,0,11,39948,,,
OpenML binary,,0,42742,porto-seguro,,,,,,,,,,,,,,20,34308,31,0,6,142164,57,595212,"0,5454868515","0,5625839059",1
OpenML binary,,0,42750,Census-Income-KDD,,,,,,,,,,,1,,,18,23314,0,0,23,8962,41,199523,"0,8544942237","0,8229923922",1
OpenML binary,,,42757,KDDCup09-Appetency,,,,,,,,,,,,,,5307,0,0,200,9493,50000,15000,50000,,,
OpenML binary,,,42758,KDDCup09-Churn,,,,,,,,,,,,,,5307,0,0,200,9493,50000,15000,50000,,,
OpenML binary,,,42759,KDDCup09-Upselling,,,,,,,,,,,,,,5307,0,0,200,9493,50000,15000,50000,,,
OpenML binary,0,1,42769,Higgs,1,,0,,,,,,,0,,,1,24,940160,0,0,4,0,28,1000000,"0,617437843","0,5771289208",0
OpenML binary,,,42773,KDDCup09-Upselling,,,,,,,,,,,,,,5283,0,260,169,9288,50000,15000,50000,,,
OpenML binary,,,42774,KDDCup09-Appetency,,,,,,,,,,,,,,5283,0,260,169,9288,50000,15000,50000,,,
OpenML binary,,,42775,KDDCup09-Churn,,,,,,,,,,,,,,5283,0,260,169,9288,50000,15000,50000,,,
OpenML binary,1,,42810,PCam,0,,,,,,,,,,,,,27648,3954,0,0,0,0,27648,4000,,,
OpenML binary,1,,42811,PCam16k,0,,,,,,,,,,,,,27648,15982,0,0,0,0,27648,16000,,,
OpenML binary,1,,42812,PCam16k,0,,,,,,,,,,,,,27648,15866,0,0,0,0,27648,16000,,,
OpenML binary,,,43072,KDDCup09-Upselling,,,,,,,,,,,,,,5283,0,189,169,9250,50000,14891,50000,,,
OpenML binary,1,0,43439,Medical-Appointment-No-Shows,,,,,,,,,,1,,,,5,44638,0,0,7,0,12,110527,,,
OpenML binary,,0,43489,Census-(Augmented),1,,0,,,,,,,0,,,0,9,630668,0,0,5,0,14,1000000,"0,7440590003","0,7583310571",1
OpenML binary,,0,43551,Employee-Turnover-at-TECHCO,,,,,,,,,,,,,,8,988,0,0,1,0,9,34452,,,
OpenML Multiple,,0,6,letter,,,,,,,,,,,,,,16,1610,0,0,0,0,16,20000,,,
OpenML Multiple,,0,28,optdigits,,,,,,,,,,,,,,51,1142,0,0,13,0,64,5620,,,
OpenML Multiple,,0,30,page-blocks,,,,,,,,,,,,,,10,658,0,0,0,0,10,5473,,,
OpenML Multiple,,0,32,pendigits,,,,,,,,,,,,,,16,2288,0,0,0,0,16,10992,,,
OpenML Multiple,,0,60,waveform-5000,,,,,,,,,,,,,,40,3310,0,0,0,0,40,5000,"0,9198388721","0,9248741188",1
OpenML Multiple,1,1,149,CovPokElec,,,,,,,,,,,1,,,15,1294868,50,0,7,0,72,1455525,"0,6390368922","0,5826532677",0
OpenML Multiple,,0,150,covertype,,,,,,,,,,,,,,10,423680,44,0,0,0,54,581012,"0,7337756583","0,758932891",1
OpenML Multiple,1,1,155,pokerhand,,,,,,,,,,,1,,,5,700852,5,0,0,0,10,829201,"0,7128550991","0,5925471762",0
OpenML Multiple,1,1,156,RandomRBF_0_0,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9287577213","0,6823610158",0
OpenML Multiple,1,1,157,RandomRBF_10_1E-3,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9017158545","0,7289636239",0
OpenML Multiple,1,1,158,RandomRBF_10_1E-4,,,1,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,9010295127","0,7656142759",0
OpenML Multiple,,0,159,RandomRBF_50_1E-3,,,,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,5052848318","0,5020590254",1
OpenML Multiple,,0,160,RandomRBF_50_1E-4,,,,,,,,,,,,,,10,522348,0,0,0,0,10,1000000,"0,5443376802","0,5176389842",1
OpenML Multiple,,0,180,covertype,,,,,,,,,,,,,,10,77812,40,0,4,0,54,110393,"0,7797505987","0,7533239739",1
OpenML Multiple,,0,182,satimage,,,,,,,,,,,,,,36,3016,0,0,0,0,36,6430,"0,9975690608","0,9975690608",1
OpenML Multiple,,0,183,abalone,,,,,,,,,,,,,,7,1268,1,0,0,0,8,4177,,,
OpenML Multiple,1,1,244,BNG(anneal),,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7128960732","0,6282812388",0
OpenML Multiple,1,1,245,"BNG(anneal,ORIG)",,,1,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7310635863","0,6472355339",0
OpenML Multiple,1,1,247,BNG(letter),,,1,,,,,,,,,,,16,80506,0,0,0,0,16,1000000,"0,9495330165","0,8970178601",0
OpenML Multiple,1,1,248,BNG(autos),,,1,,,,,,,,,,,15,521888,10,0,0,0,25,1000000,"0,6878303247","0,6489120736",0
OpenML Multiple,,0,250,BNG(mfeat-fourier),,,,,,,,,,,,,,76,200314,0,0,0,0,76,1000000,"0,9936585717","0,997261656",1
OpenML Multiple,,0,252,BNG(mfeat-karhunen),,,,,,,,,,,,,,64,200734,0,0,0,0,64,1000000,"0,989481268","0,9891930836",1
OpenML Multiple,,0,254,BNG(mfeat-zernike),,,,,,,,,,,,,,47,200552,0,0,0,0,47,1000000,"0,9696664025","0,9432956265",1
OpenML Multiple,1,1,259,BNG(page-blocks),,,1,,,,,,,,,,,10,35200,0,0,0,0,10,295245,"0,9333565675","0,7052354399",0
OpenML Multiple,,0,261,BNG(pendigits),,,,,,,,,,,,,,16,208286,0,0,0,0,16,1000000,"0,9893678161","0,9862787356",1
OpenML Multiple,1,1,265,BNG(glass),,,1,,,,,,,,,,,9,89338,0,0,0,0,9,137781,"0,8384874219","0,6736901138",0
OpenML Multiple,,0,266,BNG(heart-c),,,,,,,,,,,,,,5,907206,7,0,1,0,13,1000000,"0,7005829718","0,7307483731",1
OpenML Multiple,1,1,268,BNG(vehicle),,,1,,,,,,,,,,,18,512202,0,0,0,0,18,1000000,"0,8941006799","0,8005631481",0
OpenML Multiple,,0,271,BNG(waveform-5000),,,,,,,,,,,,,,40,661984,0,0,0,0,40,1000000,"0,9088056749","0,9137848714",1
OpenML Multiple,,0,279,"meta_stream_intervals,arff",,,,,,,,,,,,,,73,11818,0,0,1,0,74,45164,"0,99678511","0,9701635646",1
OpenML Multiple,,0,300,isolet,,,,,,,,,,,,,,613,600,0,0,4,0,617,7797,,,
OpenML Multiple,,0,375,JapaneseVowels,,,,,,,,,,,,,,14,2946,0,0,0,0,14,9961,,,
OpenML Multiple,,,390,"new3s,wc",,,,,,,,,,,,,,3613,1136,0,0,23219,0,26832,9558,,,
OpenML Multiple,,0,399,"ohscal,wc",,,,,,,,,,,,,,665,2900,0,0,10800,0,11465,11162,,,
OpenML Multiple,,0,554,mnist_784,,,,,,,,,,,,,,655,14586,0,0,129,0,784,70000,"0,9953839122","0,9949268739",1
OpenML Multiple,0,1,1044,eye_movements,,,,,,,,,,,,,,20,7608,3,0,4,0,27,10936,"0,6568550153","0,5628558914",0
OpenML Multiple,,0,1110,KDDCup99_full,,,,,,,,,,,,,,27,2144034,7,0,7,0,41,4898431,1,1,1
OpenML Multiple,,0,1113,KDDCup99,,,,,,,,,,,,,,26,214402,7,0,8,0,41,494020,1,1,1
OpenML Multiple,,0,1183,BNG(satimage),,,,,,,,,,,,,,36,468272,0,0,0,0,36,1000000,"0,9877410468","0,9873966942",1
OpenML Multiple,,0,1185,BNG(wine),,,,,,,,,,,,,,13,642542,0,0,0,0,13,1000000,"0,9500341297","0,9371331058",1
OpenML Multiple,1,1,1186,BNG(eucalyptus),,,1,,,,,,,,,,,11,490530,5,0,3,0,19,1000000,"0,8762206024","0,7496905515",0
OpenML Multiple,,0,1209,BNG(vowel),,,,,,,,,,,,,,10,182326,2,0,0,0,12,1000000,"0,893433096","0,8508644486",1
OpenML Multiple,,0,1214,BNG(JapaneseVowels),,,,,,,,,,,,,,14,294022,0,0,0,0,14,1000000,"0,9601685985","0,9617843344",1
OpenML Multiple,,0,1222,"letter-challenge-unlabeled,arff",,,,,,,,,,,,,,16,14480,0,0,0,0,16,20000,"0,5938766114","0,566160221",1
OpenML Multiple,,0,1226,Click_prediction_small,,,,,,,,,,,,,,7,664786,0,0,2,0,9,798964,"0,4904515073","0,4889510299",1
OpenML Multiple,,0,1351,"BNG(anneal,1000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,6211286746","0,6473785852",1
OpenML Multiple,,0,1352,"BNG(anneal,1000,5)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,5511765968","0,6137615335",1
OpenML Multiple,,0,1353,"BNG(anneal,1000,10)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,5305772119","0,5765681997",1
OpenML Multiple,,0,1354,"BNG(anneal,5000,1)",,,,,,,,,,,,,,6,220680,32,0,0,0,38,1000000,"0,7062441885","0,6830698806",1
