,dataset_id,dataset_name,heterogeneous,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_linear,score_resnet,too_easy
51,42477.0,default-of-credit-card-clients,,0.0,0.0,3.0,0.0,23.0,30000.0,0.6710698141637368,0.6994475138121546,1.0
52,42742.0,porto-seguro,,31.0,0.0,6.0,142164.0,57.0,595212.0,0.5588357157654859,0.5406049305987155,1.0
53,42750.0,Census-Income-KDD,,28.0,0.0,4.0,0.0,41.0,199523.0,0.819950839819746,0.8374300150211663,1.0
54,43489.0,Census-(Augmented),,8.0,0.0,0.0,0.0,14.0,1000000.0,0.7621333333333333,0.7855,1.0
55,150.0,covertype,,44.0,0.0,0.0,0.0,54.0,581012.0,0.7618333333333334,0.8374333333333334,0.0
56,266.0,BNG(heart-c),,7.0,0.0,1.0,0.0,13.0,1000000.0,0.7405333333333334,0.7547666666666667,1.0
57,271.0,BNG(waveform-5000),,0.0,0.0,0.0,0.0,40.0,1000000.0,0.9309,0.9135666666666666,1.0
58,1185.0,BNG(wine),,0.0,0.0,0.0,0.0,13.0,1000000.0,0.9462666666666667,0.9495,1.0
59,1526.0,wall-robot-navigation,,0.0,0.0,0.0,0.0,4.0,5456.0,0.9691818903891978,0.9817315329626688,1.0
60,1596.0,covertype,,44.0,0.0,0.0,0.0,54.0,581012.0,0.7646,0.8459333333333333,0.0
61,41671.0,microaggregation2,,0.0,0.0,10.0,0.0,20.0,20000.0,0.6442379182156133,0.647360594795539,1.0
